Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
skillPhysicalSkillsName,progression,Skill,,,,Physical Skills,,,,,,,,,,,,,
skillPhysicalSkillsDesc,progression,Skill,,,,"Physical Skills is a grouping of skills related to your body.",,,,,,,,,,,,,
skillResourceSkills,progression,Skill,,,,Resource Skills,,,,,,,,,,,,,
skillResourceSkillsName,progression,Skill,,,,Resource Skills,,,,,,,,,,,,,
skillResourceSkillsDesc,progression,Skill,,,,"Resource Skills is a grouping of skills dedicated to resource collection.",,,,,,,,,,,,,
skillGeneralMeleePerks,progression,Skill,,,,General Melee Perks,,,,,,,,,,,,,
skillGeneralMeleePerksName,progression,Skill,,,,General Melee Perks,,,,,,,,,,,,,
skillGeneralMeleePerksDesc,progression,Skill,,,,General Melee Perks,,,,,,,,,,,,,
skillBluntPerks,progression,Skill,,,,Blunt Melee Perks,,,,,,,,,,,,,
skillBluntPerksName,progression,Skill,,,,Blunt Melee Perks,,,,,,,,,,,,,
skillBluntPerksDesc,progression,Skill,,,,Blunt Melee Perks,,,,,,,,,,,,,
skillBladePerks,progression,Skill,,,,Blade Melee Perks,,,,,,,,,,,,,
skillBladePerksName,progression,Skill,,,,Blade Melee Perks,,,,,,,,,,,,,
skillBladePerksDesc,progression,Skill,,,,Blade Melee Perks,,,,,,,,,,,,,
skillPiercingPerks,progression,Skill,,,,Piercing Melee Perks,,,,,,,,,,,,,
skillPiercingPerksName,progression,Skill,,,,Piercing Melee Perks,,,,,,,,,,,,,
skillPiercingPerksDesc,progression,Skill,,,,Piercing Melee Perks,,,,,,,,,,,,,
skillGeneralRangedPerks,progression,Skill,,,,General Ranged Perks,,,,,,,,,,,,,
skillGeneralRangedPerksName,progression,Skill,,,,General Ranged Perks,,,,,,,,,,,,,
skillGeneralRangedPerksDesc,progression,Skill,,,,General Ranged Perks,,,,,,,,,,,,,
skillPistolPerks,progression,Skill,,,,Pistol Perks,,,,,,,,,,,,,
skillPistolPerksName,progression,Skill,,,,Pistol Perks,,,,,,,,,,,,,
skillPistolPerksDesc,progression,Skill,,,,Pistol Perks,,,,,,,,,,,,,
skillShotgunPerks,progression,Skill,,,,Shotgun Perks,,,,,,,,,,,,,
skillShotgunPerksName,progression,Skill,,,,Shotgun Perks,,,,,,,,,,,,,
skillShotgunPerksDesc,progression,Skill,,,,Shotgun Perks,,,,,,,,,,,,,
skillRiflePerks,progression,Skill,,,,Rifle Perks,,,,,,,,,,,,,
skillRiflePerksName,progression,Skill,,,,"Rifle Perks [Scroll Down To See More]",,,,,,,,,,,,,
skillRiflePerksDesc,progression,Skill,,,,Rifle Perks,,,,,,,,,,,,,
skillAutoRiflePerks,progression,Skill,,,,Auto Rifle Perks,,,,,,,,,,,,,
skillAutoRiflePerksName,progression,Skill,,,,Auto Rifle Perks,,,,,,,,,,,,,
skillAutoRiflePerksDesc,progression,Skill,,,,Auto Rifle Perks,,,,,,,,,,,,,
skillArcheryPerks,progression,Skill,,,,Archery Perks,,,,,,,,,,,,,
skillArcheryPerksName,progression,Skill,,,,Archery Perks,,,,,,,,,,,,,
skillArcheryPerksDesc,progression,Skill,,,,Archery Perks,,,,,,,,,,,,,
skillGeneralPhysicalPerks,progression,Skill,,,,General Physical Perks,,,,,,,,,,,,,
skillGeneralPhysicalPerksName,progression,Skill,,,,General Physical Perks,,,,,,,,,,,,,
skillGeneralPhysicalPerksDesc,progression,Skill,,,,General Physical Perks,,,,,,,,,,,,,
skillArmorPerks,progression,Skill,,,,Armor Perks,,,,,,,,,,,,,
skillArmorPerksName,progression,Skill,,,,Armor Perks,,,,,,,,,,,,,
skillArmorPerksDesc,progression,Skill,,,,Armor Perks,,,,,,,,,,,,,
skillStealthPerks,progression,Skill,,,,Stealth Perks,,,,,,,,,,,,,
skillStealthPerksName,progression,Skill,,,,Stealth Perks,,,,,,,,,,,,,
skillStealthPerksDesc,progression,Skill,,,,Stealth Perks,,,,,,,,,,,,,
skillSurvivalismPerks,progression,Skill,,,,Survivalism Perks,,,,,,,,,,,,,
skillSurvivalismPerksName,progression,Skill,,,,Survivalism Perks,,,,,,,,,,,,,
skillSurvivalismPerksDesc,progression,Skill,,,,Survivalism Perks,,,,,,,,,,,,,
skillGeneralMentalPerks,progression,Skill,,,,General Mental Perks,,,,,,,,,,,,,
skillGeneralMentalPerksName,progression,Skill,,,,General Mental Perks,,,,,,,,,,,,,
skillGeneralMentalPerksDesc,progression,Skill,,,,General Mental Perks,,,,,,,,,,,,,
skillSpeechPerks,progression,Skill,,,,Speech Perks,,,,,,,,,,,,,
skillSpeechPerksName,progression,Skill,,,,Speech Perks,,,,,,,,,,,,,
skillSpeechPerksDesc,progression,Skill,,,,Speech Perks,,,,,,,,,,,,,
skillExplosivesPerks,progression,Skill,,,,Explosives Perks,,,,,,,,,,,,,
skillExplosivesPerksName,progression,Skill,,,,Explosives Perks,,,,,,,,,,,,,
skillExplosivesPerksDesc,progression,Skill,,,,Explosives Perks,,,,,,,,,,,,,
skillRoboticsPerks,progression,Skill,,,,Robotics Perks,,,,,,,,,,,,,
skillRoboticsPerksName,progression,Skill,,,,Robotics Perks,,,,,,,,,,,,,
skillRoboticsPerksDesc,progression,Skill,,,,Robotics Perks,,,,,,,,,,,,,
skillMiningPerks,progression,Skill,,,,Mining Perks,,,,,,,,,,,,,
skillMiningPerksName,progression,Skill,,,,Mining Perks,,,,,,,,,,,,,
skillMiningPerksDesc,progression,Skill,,,,Mining Perks,,,,,,,,,,,,,
skillSalvagingPerks,progression,Skill,,,,Salvaging Perks,,,,,,,,,,,,,
skillSalvagingPerksName,progression,Skill,,,,Salvaging Perks,,,,,,,,,,,,,
skillSalvagingPerksDesc,progression,Skill,,,,Salvaging Perks,,,,,,,,,,,,,
skillScavengingPerks,progression,Skill,,,,Scavenging Perks,,,,,,,,,,,,,
skillScavengingPerksName,progression,Skill,,,,Scavenging Perks,,,,,,,,,,,,,
skillScavengingPerksDesc,progression,Skill,,,,Scavenging Perks,,,,,,,,,,,,,
skillAdvancedCraftingPerks,progression,Skill,,,,Advanced Crafting Perks,,,,,,,,,,,,,
skillAdvancedCraftingPerksName,progression,Skill,,,,Advanced Crafting Perks,,,,,,,,,,,,,
skillAdvancedCraftingPerksDesc,progression,Skill,,,,Advanced Crafting Perks,,,,,,,,,,,,,
skillMeleeCraftingPerks,progression,Skill,,,,Melee Crafting Perks,,,,,,,,,,,,,
skillMeleeCraftingPerksName,progression,Skill,,,,Melee Crafting Perks,,,,,,,,,,,,,
skillMeleeCraftingPerksDesc,progression,Skill,,,,Melee Crafting Perks,,,,,,,,,,,,,
skillRangedCraftingPerks,progression,Skill,,,,Ranged Crafting Perks,,,,,,,,,,,,,
skillRangedCraftingPerksName,progression,Skill,,,,Ranged Crafting Perks,,,,,,,,,,,,,
skillRangedCraftingPerksDesc,progression,Skill,,,,Ranged Crafting Perks,,,,,,,,,,,,,
skillAmmoCraftingPerks,progression,Skill,,,,Ammo Crafting Perks,,,,,,,,,,,,,
skillAmmoCraftingPerksName,progression,Skill,,,,Ammo Crafting Perks,,,,,,,,,,,,,
skillAmmoCraftingPerksDesc,progression,Skill,,,,Ammo Crafting Perks,,,,,,,,,,,,,
skillMiscCraftingPerks,progression,Skill,,,,Misc Crafting Perks,,,,,,,,,,,,,
skillMiscCraftingPerksName,progression,Skill,,,,"Misc Crafting Perks [Scroll Down To See More]",,,,,,,,,,,,,
skillMiscCraftingPerksDesc,progression,Skill,,,,Misc Crafting Perks,,,,,,,,,,,,,
izpActionBluntWeaponsName,progression,perk,,x,,Blunt Weapons,,,,,,,,,,,,,
izpActionBluntWeaponsSkill,progression,perk,,x,,Blunt Weapons,,,,,,,,,,,,,
izpActionBluntWeaponsDesc,progression,perk,,x,,"Clubs, Hammers, Wrenches, Batons, Knuckles or anything else you can crush a skull with. Higher levels mean being able to do more damage with blunt weapons.",,,,,,,,,,,,,
izpActionBluntWeaponsRankDesc,progression,perk,,x,,+ 0.5% Damage With Blunt Weapons,,,,,,,,,,,,,
izpActionBluntWeaponsRank1Desc,progression,perk,,x,,Level By Killing Enemies With Blunt,,,,,,,,,,,,,
izpActionBluntWeaponsRank1LongDesc,progression,perk,,x,,Level by killing enemies with any blunt object or reading Big Hitters skill magazines.,,,,,,,,,,,,,
izpActionBluntWeaponsRankLongDesc,progression,perk,,x,,+ 0.5% Damage with blunt weapons. Max: 100/100 with +50% damage.,,,,,,,,,,,,,
izpActionBladeWeaponsName,progression,perk,,x,,Bladed Weapons,,,,,,,,,,,,,
izpActionBladeWeaponsSkill,progression,perk,,x,,Bladed Weapons,,,,,,,,,,,,,
izpActionBladeWeaponsDesc,progression,perk,,x,,"Knives, Machetes, Axes or anything else you can slash, rip and tear someone open with. Higher levels mean being able to do more damage with bladed weapons.",,,,,,,,,,,,,
izpActionBladeWeaponsRank1Desc,progression,perk,,x,,Level By Killing Enemies With Blades,,,,,,,,,,,,,
izpActionBladeWeaponsRank1LongDesc,progression,perk,,x,,Level by killing enemies with bladed weapons or reading Knife Guy skill magazines.,,,,,,,,,,,,,
izpActionBladeWeaponsRankDesc,progression,perk,,x,,+ 0.5% Damage With Bladed Weapons,,,,,,,,,,,,,
izpActionBladeWeaponsRankLongDesc,progression,perk,,x,,+ 0.5% Damage with bladed weapons. Max: 100/100 with +50% damage.,,,,,,,,,,,,,
izpActionPiercingWeaponsName,progression,perk,,x,,Piercing Weapons,,,,,,,,,,,,,
izpActionPiercingWeaponsSkill,progression,perk,,x,,Piercing Weapons,,,,,,,,,,,,,
izpActionPiercingWeaponsDesc,progression,perk,,x,,"Spears, Pickaxes, Shovels or anything else you can skewer someone with. Higher levels mean being able to do more damage with piercing weapons.",,,,,,,,,,,,,
izpActionPiercingWeaponsRankDesc,progression,perk,,x,,+ 0.5% Damage With Piercing Weapons,,,,,,,,,,,,,
izpActionPiercingWeaponsRankLongDesc,progression,perk,,x,,+ 0.5% Damage with piercing weapons. Max: 100/100 with +50% damage.,,,,,,,,,,,,,
izpActionPiercingWeaponsRank1Desc,progression,perk,,x,,Level By Killing Enemies With Piercing,,,,,,,,,,,,,
izpActionPiercingWeaponsRank1LongDesc,progression,perk,,x,,Level by killing enemies with piercing weapons or reading Sharp Sticks skill magazines.,,,,,,,,,,,,,
izpActionArcheryName,progression,perk,,x,,Archery,,,,,,,,,,,,,
izpActionArcherySkill,progression,perk,,x,,Archery,,,,,,,,,,,,,
izpActionArcheryDesc,progression,perk,,x,,"Bows and crossbows, tried and true. Silent but deadly...no wait not like that. Higher levels mean being able to do more damage with bows and crossbows.",,,,,,,,,,,,,
izpActionArcheryRankDesc,progression,perk,,x,,+ 0.5% Damage,,,,,,,,,,,,,
izpActionArcheryRankLongDesc,progression,perk,,x,,+ 0.5% Damage with bows and crossbows. Max: 100/100 with +50% damage.,,,,,,,,,,,,,
izpActionArcheryRank1Desc,progression,perk,,x,,Level By Killing Enemies With Archery,,,,,,,,,,,,,
izpActionArcheryRank1LongDesc,progression,perk,,x,,Level by hitting and killing enemies with archery or reading Bow Hunter skill magazines.,,,,,,,,,,,,,
izpActionPistolsName,progression,perk,,x,,Pistols,,,,,,,,,,,,,
izpActionPistolsSkill,progression,perk,,x,,Pistols,,,,,,,,,,,,,
izpActionPistolsDesc,progression,perk,,x,,"Handguns and Submachine Guns. You don't need heavy weapons when you have real talent like yours. Higher levels mean being able to do more damage with handguns and SMGs.",,,,,,,,,,,,,
izpActionPistolsRankDesc,progression,perk,,x,,"+ 0.5% Damage, -0.25% Less Recoil",,,,,,,,,,,,,
izpActionPistolsRankLongDesc,progression,perk,,x,,"+ 0.5% Damage, -0.25% Less Recoil With Handguns and SMGs. Max: 100/100 with +50% damage and 25% recoil.",,,,,,,,,,,,,
izpActionPistolsRank1Desc,progression,perk,,x,,Level By Killing Enemies With Pistols,,,,,,,,,,,,,
izpActionPistolsRank1LongDesc,progression,perk,,x,,Level by hitting and killing enemies with pistols or reading Handgun skill magazines.,,,,,,,,,,,,,
izpActionShotgunsName,progression,perk,,x,,Shotguns,,,,,,,,,,,,,
izpActionShotgunsSkill,progression,perk,,x,,Shotguns,,,,,,,,,,,,,
izpActionShotgunsDesc,progression,perk,,x,,"Shotguns and Zombies. They go together like Bacon and Eggs. Higher levels mean being able to do more damage with shotguns.",,,,,,,,,,,,,
izpActionShotgunsRankDesc,progression,perk,,x,,"+ 0.5% Damage, + 0.3% Reload Speed",,,,,,,,,,,,,
izpActionShotgunsRankLongDesc,progression,perk,,x,,"+ 0.5% Damage, + 0.3% Reload Speed with Shotguns. Max: 100/100 with +50% damage, +30% reload speed.",,,,,,,,,,,,,
izpActionShotgunsRank1Desc,progression,perk,,x,,Level By Killing Enemies With Shotguns,,,,,,,,,,,,,
izpActionShotgunsRank1LongDesc,progression,perk,,x,,Level by hitting and killing enemies with shotguns or reading Shotgun Weekly skill magazines.,,,,,,,,,,,,,
izpActionRiflesName,progression,perk,,x,,Rifles,,,,,,,,,,,,,
izpActionRiflesSkill,progression,perk,,x,,Rifles,,,,,,,,,,,,,
izpActionRiflesDesc,progression,perk,,x,,"Rifles. High Risk. High Reward. Don't Miss. Higher levels mean being able to do more damage with Hunting, Lever Action and Sniper Rifles.",,,,,,,,,,,,,
izpActionRiflesRankDesc,progression,perk,,x,,"+ 0.5% Damage, + 0.3% Reload Speed",,,,,,,,,,,,,
izpActionRiflesRankLongDesc,progression,perk,,x,,"+ 0.5% Damage, + 0.3% Reload Speed With Hunting, Lever Action and Sniper Rifles. Max: 100/100 with +50% damage, +30% reload speed.",,,,,,,,,,,,,
izpActionRiflesRank1Desc,progression,perk,,x,,Level By Killing Enemies With Rifles,,,,,,,,,,,,,
izpActionRiflesRank1LongDesc,progression,perk,,x,,Level by hitting and killing enemies with rifles or reading Rifle World skill magazines.,,,,,,,,,,,,,
izpActionAutomaticRiflesName,progression,perk,,x,,Automatic Rifles,,,,,,,,,,,,,
izpActionAutomaticRiflesSkill,progression,perk,,x,,Automatic Rifles,,,,,,,,,,,,,
izpActionAutomaticRiflesDesc,progression,perk,,x,,Better Lead Than Dead...Whatever That Means. Higher levels mean being able to do more damage with Automatic Rifles.,,,,,,,,,,,,,
izpActionAutomaticRiflesRankDesc,progression,perk,,x,,+ 0.5% Damage,,,,,,,,,,,,,
izpActionAutomaticRiflesRankLongDesc,progression,perk,,x,,+ 0.5% Damage. Max: 100/100 with +50% damage.,,,,,,,,,,,,,
izpActionAutomaticRiflesRank1Desc,progression,perk,,x,,Level By Killing Enemies With Automatic Rifles,,,,,,,,,,,,,
izpActionAutomaticRiflesRank1LongDesc,progression,perk,,x,,Level by hitting and killing enemies with automatic rifles or reading Tactical Warfare skill magazines.,,,,,,,,,,,,,
izpActionArmorName,progression,perk,,x,,Armor,,,,,,,,,,,,,
izpActionArmorSkill,progression,perk,,x,,Armor,,,,,,,,,,,,,
izpActionArmorDesc,progression,perk,,x,,"Whether it's heavy metal, padded leather or light clothing, this skill makes you better at wearing it. Higher levels mean reduced armor degradation.",,,,,,,,,,,,,
izpActionArmorRankDesc,progression,perk,,x,,0.6% Less Armor Degradation,,,,,,,,,,,,,
izpActionArmorRankLongDesc,progression,perk,,x,,Use 60% less durability per hit taken. Max: 60% Less Armor Degradation.,,,,,,,,,,,,,
izpActionArmorRank1Desc,progression,perk,,x,,Level By Using Armor,,,,,,,,,,,,,
izpActionArmorRank1LongDesc,progression,perk,,x,,"Level by taking damage, or moving while wearing at least one piece of armor or reading Armored Up skill magazines.",,,,,,,,,,,,,
izpActionAthleticsName,progression,perk,,x,,Athletics,,,,,,,,,,,,,
izpActionAthleticsSkill,progression,perk,,x,,Athletics,,,,,,,,,,,,,
izpActionAthleticsDesc,progression,perk,,x,,"Always remember, Rule #1: Cardio. Higher levels mean being able to run for longer and have more overall stamina.",,,,,,,,,,,,,
izpActionAthleticsRankDesc,progression,perk,,x,,+ 0.25% Stamina Regen While Running + 0.25 Stamina,,,,,,,,,,,,,
izpActionAthleticsRankLongDesc,progression,perk,,x,,"+0.25% stamina regeneration while sprinting, allowing you to run for longer. +0.25 Stamina. Max: 100/100 with +25% stamina regen +25 Stamina",,,,,,,,,,,,,
izpActionAthleticsRank1Desc,progression,perk,,x,,Level By Moving,,,,,,,,,,,,,
izpActionAthleticsRank1LongDesc,progression,perk,,x,,"Level by running, jumping or swimming or reading Health Nut skill magazines.",,,,,,,,,,,,,
izpActionSurvivalismName,progression,perk,,x,,Survivalism,,,,,,,,,,,,,
izpActionSurvivalismSkill,progression,perk,,x,,Survivalism,,,,,,,,,,,,,
izpActionSurvivalismDesc,progression,perk,,x,,"Survivalism allows you to manage your food and water more efficiently. Higher levels mean using less food and water to restore stamina.",,,,,,,,,,,,,
izpActionSurvivalismRankDesc,progression,perk,,x,,-0.25% Less Food and Water Used,,,,,,,,,,,,,
izpActionSurvivalismRankLongDesc,progression,perk,,x,,"-0.25% Less Food and Water used to restore each point of stamina, Max: 100/100 with 25% less food and water used.",,,,,,,,,,,,,
izpActionSurvivalismRank1Desc,progression,perk,,x,,"Level By Skinning Animals, Harvesting Plants and Eating/Drinking.",,,,,,,,,,,,,
izpActionSurvivalismRank1LongDesc,progression,perk,,x,,"Level by eating or drinking food and water, skinning animals, harvesting plants or reading Home Cooking Weekly or Southern Farming skill magazines.",,,,,,,,,,,,,
izpActionBarterName,progression,perk,,x,,Speech,,,,,,,,,,,,,
izpActionBarterSkill,progression,perk,,x,,Speech,,,,,,,,,,,,,
izpActionBarterDesc,progression,perk,,x,,"Speech allows you to negotiate better prices at the trader. Higher levels mean more Dukes for things you sell and paying less Dukes for things you buy.",,,,,,,,,,,,,
izpActionBarterRankDesc,progression,perk,,x,,+ 0.25% Better Deals at The Trader,,,,,,,,,,,,,
izpActionBarterRankLongDesc,progression,perk,,x,,"+ 0.25% better deals at the trader when buying and selling, Max: 100/100 with 25% better deals.",,,,,,,,,,,,,
izpActionBarterRank1Desc,progression,perk,,x,,Level By Reading Business Secrets Magazines,,,,,,,,,,,,,
izpActionBarterRank1LongDesc,progression,perk,,x,,"Level by reading Business Secrets skill magazines or investing skill points. NOTE: Additional Levelling Methods In Development",,,,,,,,,,,,,
izpActionScienceName,progression,perk,,x,,Science,,,,,,,,,,,,,
izpActionScienceSkill,progression,perk,,x,,Science,,,,,,,,,,,,,
izpActionScienceDesc,progression,perk,,x,,"Science is a measure of your aptitude in physics, biology, chemistry and medicine. Higher levels mean crafting chemical items like medicine and gunpowder faster.",,,,,,,,,,,,,
izpActionScienceRankDesc,progression,perk,,x,,+ 0.25% Faster Chemical Crafting,,,,,,,,,,,,,
izpActionScienceRankLongDesc,progression,perk,,x,,"+ 0.25% faster chemical crafting. Max: 100/100 with 25% faster crafting.",,,,,,,,,,,,,
izpActionScienceRank1Desc,progression,perk,,x,,Level By Using Medical Items and Drugs,,,,,,,,,,,,,
izpActionScienceRank1LongDesc,progression,perk,,x,,"Level by using Medical Items and drugs on yourself and others or reading Medical Journal or Wiring 101 skill magazines.\n\nAlso levels slightly by using salvage tools. NOTE: Additional Levelling Methods In Development",,,,,,,,,,,,,
izpActionEngineeringName,progression,perk,,x,,Engineering,,,,,,,,,,,,,
izpActionEngineeringSkill,progression,perk,,x,,Engineering,,,,,,,,,,,,,
izpActionEngineeringDesc,progression,perk,,x,,"Engineering is a measure of your efficiency at crafting things. Higher levels mean crafting in your inventory, at your workbench or cement mixer faster.",,,,,,,,,,,,,
izpActionEngineeringRankDesc,progression,perk,,x,,+ 0.25% Faster Crafting,,,,,,,,,,,,,
izpActionEngineeringRankLongDesc,progression,perk,,x,,"+ 0.25% faster crafting in your inventory, workbench and cement mixer. Max: 100/100 with 25% faster crafting.",,,,,,,,,,,,,
izpActionEngineeringRank1Desc,progression,perk,,x,,Level By Upgrading and Repairing Blocks,,,,,,,,,,,,,
izpActionEngineeringRank1LongDesc,progression,perk,,x,,"Level by upgrading or repairing blocks or reading Forge Ahead or Handy Land skill magazines. \n\nAlso levels slightly by using salvage tools.",,,,,,,,,,,,,
izpActionMiningName,progression,perk,,x,,Mining,,,,,,,,,,,,,
izpActionMiningSkill,progression,perk,,x,,Mining,,,,,,,,,,,,,
izpActionMiningDesc,progression,perk,,x,,"Mining is a measure of your efficiency at mining blocks. Higher levels mean doing more block damage and collecting more resources with mining tools.",,,,,,,,,,,,,
izpActionMiningRankDesc,progression,perk,,x,,"+ 1% Block Damage, + 0.5% Harvest Yield",,,,,,,,,,,,,
izpActionMiningRankLongDesc,progression,perk,,x,,"+ 1% block damage, + 0.5% harvest yield with mining tools. Max: 100/100 with 100% more block damage and 50% more harvest yield.",,,,,,,,,,,,,
izpActionMiningRank1Desc,progression,perk,,x,,Level By Mining,,,,,,,,,,,,,
izpActionMiningRank1LongDesc,progression,perk,,x,,Level by mining blocks with mining tools or reading Tools Digest skill magazines.,,,,,,,,,,,,,
izpActionSalvagingName,progression,perk,,x,,Salvaging,,,,,,,,,,,,,
izpActionSalvagingSkill,progression,perk,,x,,Salvaging,,,,,,,,,,,,,
izpActionSalvagingDesc,progression,perk,,x,,"Salvaging is a measure of your efficiency at salvaging blocks. Higher levels mean doing more block damage and collecting more resources with salvaging tools.",,,,,,,,,,,,,
izpActionSalvagingRankDesc,progression,perk,,x,,"+ 1% Block Damage, + 0.5% Harvest Yield",,,,,,,,,,,,,
izpActionSalvagingRankLongDesc,progression,perk,,x,,"+ 1% block damage, + 0.5% harvest yield with salvaging tools. Max: 100/100 with 100% more block damage and 50% more harvest yield.",,,,,,,,,,,,,
izpActionSalvagingRank1Desc,progression,perk,,x,,Level By Salvaging,,,,,,,,,,,,,
izpActionSalvagingRank1LongDesc,progression,perk,,x,,Level by salvaging blocks with salvaging tools or reading Scrapping 4 Fun skill magazines.,,,,,,,,,,,,,
izpActionScavengingName,progression,perk,,x,,Scavenging,,,,,,,,,,,,,
izpActionScavengingSkill,progression,perk,,x,,Scavenging,,,,,,,,,,,,,
izpActionScavengingDesc,progression,perk,,x,,"Scavenging is a measure of your efficiency at looting. Higher levels mean looting faster and finding better loot.",,,,,,,,,,,,,
izpActionScavengingRankDesc,progression,perk,,x,,"+ 0.25% Loot Stage, - 0.5% Looting Time",,,,,,,,,,,,,
izpActionScavengingRankLongDesc,progression,perk,,x,,"+ 0.25% Loot Stage, - 0.5% Looting Time. Max: 100/100 with 25% more lootstage and 50% faster looting.",,,,,,,,,,,,,
izpActionScavengingRank1Desc,progression,perk,,x,,Level By Looting,,,,,,,,,,,,,
izpActionScavengingRank1LongDesc,progression,perk,,x,,Level by looting containers or reading Super Shopper skill magazines.,,,,,,,,,,,,,
reqBlunt5,UI,Tooltip,,,,Requires Level 5 Blunt,,,,,,,,,,,,,
reqBlunt10,UI,Tooltip,,,,Requires Level 10 Blunt,,,,,,,,,,,,,
reqBlunt15,UI,Tooltip,,,,Requires Level 15 Blunt,,,,,,,,,,,,,
reqBlunt20,UI,Tooltip,,,,Requires Level 20 Blunt,,,,,,,,,,,,,
reqBlunt25,UI,Tooltip,,,,Requires Level 25 Blunt,,,,,,,,,,,,,
reqBlunt30,UI,Tooltip,,,,Requires Level 30 Blunt,,,,,,,,,,,,,
reqBlunt35,UI,Tooltip,,,,Requires Level 35 Blunt,,,,,,,,,,,,,
reqBlunt40,UI,Tooltip,,,,Requires Level 40 Blunt,,,,,,,,,,,,,
reqBlunt45,UI,Tooltip,,,,Requires Level 45 Blunt,,,,,,,,,,,,,
reqBlunt50,UI,Tooltip,,,,Requires Level 50 Blunt,,,,,,,,,,,,,
reqBlunt55,UI,Tooltip,,,,Requires Level 55 Blunt,,,,,,,,,,,,,
reqBlunt60,UI,Tooltip,,,,Requires Level 60 Blunt,,,,,,,,,,,,,
reqBlunt65,UI,Tooltip,,,,Requires Level 65 Blunt,,,,,,,,,,,,,
reqBlunt70,UI,Tooltip,,,,Requires Level 70 Blunt,,,,,,,,,,,,,
reqBlunt75,UI,Tooltip,,,,Requires Level 75 Blunt,,,,,,,,,,,,,
